date,title,url
13 березня,Відійшов у вічність Мирон Михайлович Цюбик,/uk/news/vidijshov-u-vichnist-miron-mihajlovich-tsyubik.htm
7 березня,Людмила Симочко - про реалізацію авторського проекту «Мистецтво заради Миру»,/uk/news/lyudmila-simochko---pro-realizatsiyu-avtorskogo-proektu.htm
2 грудня,В УжНУ відбулася завершальна конференція проєкту «Партнерство для геномних досліджень в Україні та Румунії»,/uk/news/v-uzhnu-vidbulasya-zavershalna-konferentsiya-proyektu-partnerstvo.htm?redirect=1
28 листопада,Відійшов у вічність доцент  кафедри ентомології та збереження біорізноманіття Василь Олександрович Чумак,/uk/news/vidijshov-u-vichnist-dotsent-kafedri-entomologiji-ta-zberezhennya.htm
24 листопада,Ужнівці взяли участь у воркшопі з геноміки та біоінформатики в Румунії,/uk/news/uzhnivtsi-vzyali-uchast-u-vorkshopi-z-genomiki-rumuniji.htm?redirect=1
3 жовтня,Кафедра військової підготовки УжНУ проводить додаткову вступну сесію,/uk/news/kafedra-vijskovoji-pidgotovki-uzhnu-provodit-dodatkovu-vstupnu-se.htm
15 вересня,Пішов у засвіти завідувач лабораторій кафедри електронних систем Пилип Федорович Алякшев,/uk/news/pishov-u-zasviti-pilip-fedorovich-alyakshev.htm
11 лютого,"До уваги вступників до магістратури! Затверджені програми ЄФВВ, графік ЄВІ та ЄФВВ у 2022 році",/uk/news/programi-Yefvv-grafik-YevI-ta-Yefvv-u-2022-rotsi.htm
6 лютого,Доценту Івану Юрійовичу Королю – 80!,/uk/news/dotsentu-Ivanu-yurijovichu-korolyu-80.htm
8 листопада,"Відбувся круглий стіл щодо використання сучасних методів моніторингу небезпечних природних та техногенних геопроцесів у транскордонному регіоні Угорщини, Словаччини, Румунії та України",/uk/news/vidbuvsya-kruglij-stil-HUSKROUA.htm
10 березня,На економічному факультеті відбувся круглий стіл професорсько-викладацького складу факультету,/uk/news/na-ekonomichnomu-fakulteti-vidbuvsya-kruglij-stil-profesorsko-vi.htm
10 березня,10 березня відзначаємо День Державного гімну України,/uk/news/10-bereznya-vidznachayemo-den-derzhavnogo-gimnu-ukrajini.htm
28 лютого,Викладачі та студенти економічного факультету долучилися до публічної лекції професора Dr. Miroslaw Skоda,/uk/news/vikladachi-ta-studenti-ekonomichnogo-fakultetu-doluchilisya-do-p.htm
19 лютого,19 лютого - День Державного Герба України,/uk/news/19-lyutogo---den-derzhavnogo-gerba-ukrajini.htm
11 лютого,"Колегині, з Міжнародним днем жінок та дівчат у науці",/uk/news/kolegini-z-mizhnarodnim-dnem-zhinok-ta-divchat-u-nautsi.htm
2 березня,Факультетом підписано міжвВУЗівську декларацію щодо повоєнної відбудови України,/uk/news/fakultetom-pidpisano-mizhvvuzivsku-deklaratsiyu-shchodo-povoyenn.htm
20 лютого,Студенти-першокурсники ознайомилися з роботою відділу соціально-психологічної служби  університету,/uk/news/studenti-pershokursniki-oznajomilisya-z-robotoyu-viddilu-sotsial.htm
9 лютого,Географи УжНУ взяли участь у Зимовій школі 2023,/uk/news/geografi-uzhnu-vzyali-uchast-u-zimovij-shkoli-2023.htm
19 січня,Вічна слава і пам'ять герою - випускнику географічного факультету -  Михайлу Настичу!,/uk/news/vichna-slava-i-pamyat-geroyu---vipuskniku-geografichnogo-fakulte.htm
21 березня,На стоматологічному факультеті відбулося чергове засідання робочої групи ОПП магістерського рівня вищої освіти зі спеціальності «Стоматологія».,/uk/news/na-stomatologichnomu-fakulteti-vidbulosya-chergove-zasidannya-ro.htm
29 грудня,В УжНУ організували міжнародну конференцію щодо досліджень і моніторингу небезпечних природних і техногенних геопроцесів за допомогою цифрових технологій,/uk/news/v-uzhnu-organizuvali-mizhnarodnu-konferentsiyu-shchodo-doslidzhen.htm
3 жовтня,Кафедра військової підготовки УжНУ проводить додаткову вступну сесію,/uk/news/kafedra-vijskovoji-pidgotovki-uzhnu-provodit-dodatkovu-vstupnu-se.htm
21 липня,Оголошується прийом документів для вступу до клінічної ординатури за спеціальністю 221 Стоматологія,/uk/news/ogoloshuyetsya-prijom-dokumentiv-dlya-vstupu-do-klinichnoji-ordi.htm
14 березня,"Триває збір і обговорення пропозицій щодо оновлення освітньої програми та навчального плану ""Лікувальна справа""",/uk/news/onovlennya-osvitnoi-programi-ta-navchalnogo-planu-likuvalna-sprav.htm
8 липня,"Професор Надія Бойко: «У мене немає межі, де закінчується моє життя і починається наука»",/uk/news/profesor-nadiya-bojko-u-mene-nemaye-mezhi-de-zakinchuyetsya-moye.htm
23 лютого,Пам'яті професорки Людмили Сіксай,/uk/news/pamyati-profesorki-lyudmili-siksaj.htm
31 березня,Відкрита лекція доцента кафедри наук про здоров’я Корольчук Олени Ласлівни,/uk/anounce/2070.htm
