config,img_url,model,price_high,price_low
AN515-57-52F5,https://s.ek.ua/jpg/2070073.jpg,Acer Nitro 5 AN515-57,115790,28091
AN515-57-51H7,https://s.ek.ua/jpg/2070073.jpg,Acer Nitro 5 AN515-57,115790,28091
AN515-57-50ZB,https://s.ek.ua/jpg/2070073.jpg,Acer Nitro 5 AN515-57,115790,28091
AN515-57-50PD,https://s.ek.ua/jpg/2070073.jpg,Acer Nitro 5 AN515-57,115790,28091
AN515-57-58YY,https://s.ek.ua/jpg/2070073.jpg,Acer Nitro 5 AN515-57,115790,28091
AN515-46-R1PW,https://s.ek.ua/jpg/2159181.jpg,Acer Nitro 5 AN515-46,84500,32102
NH.QGYEP.001,https://s.ek.ua/jpg/2159181.jpg,Acer Nitro 5 AN515-46,84500,32102
NH.QGYEP.009,https://s.ek.ua/jpg/2159181.jpg,Acer Nitro 5 AN515-46,84500,32102
AN515-46-R122,https://s.ek.ua/jpg/2159181.jpg,Acer Nitro 5 AN515-46,84500,32102
AN515-46-R6ER,https://s.ek.ua/jpg/2159181.jpg,Acer Nitro 5 AN515-46,84500,32102
MGN63,https://s.ek.ua/jpg/1905789.jpg,Apple MacBook Air 13,102255,33433
MGN93,https://s.ek.ua/jpg/1905789.jpg,Apple MacBook Air 13,102255,33433
MGND3,https://s.ek.ua/jpg/1905789.jpg,Apple MacBook Air 13,102255,33433
Z124000F2,https://s.ek.ua/jpg/1905789.jpg,Apple MacBook Air 13,102255,33433
Z12A000F2,https://s.ek.ua/jpg/1905789.jpg,Apple MacBook Air 13,102255,33433
639XUA,https://s.ek.ua/jpg/2034980.jpg,MSI Katana GF66 11UE,67093,39870
890XUA,https://s.ek.ua/jpg/2034980.jpg,MSI Katana GF66 11UE,67093,39870
285XUA,https://s.ek.ua/jpg/2034980.jpg,MSI Katana GF66 11UE,67093,39870
491XPL,https://s.ek.ua/jpg/2034980.jpg,MSI Katana GF66 11UE,67093,39870
609XUA,https://s.ek.ua/jpg/2034980.jpg,MSI Katana GF66 11UE,67093,39870
Geekabyte.com.ua,https://s.ek.ua/jpg/2034980.jpg,MSI Katana GF66 11UE,67093,39870
260US,https://s.ek.ua/jpg/2034980.jpg,MSI Katana GF66 11UE,67093,39870
82K200QXPB,https://s.ek.ua/jpg/2099925.jpg,Lenovo IdeaPad Gaming 3 15ACH6,49725,24999
82K201N8RA,https://s.ek.ua/jpg/2099925.jpg,Lenovo IdeaPad Gaming 3 15ACH6,49725,24999
82K2014MPB,https://s.ek.ua/jpg/2099925.jpg,Lenovo IdeaPad Gaming 3 15ACH6,49725,24999
82K201B9RA,https://s.ek.ua/jpg/2099925.jpg,Lenovo IdeaPad Gaming 3 15ACH6,49725,24999
82K200QNPB,https://s.ek.ua/jpg/2099925.jpg,Lenovo IdeaPad Gaming 3 15ACH6,49725,24999
AEE1130SD,https://s.ek.ua/jpg/2198620.jpg,Gigabyte A5 K1,52500,36000
BEE2150SD,https://s.ek.ua/jpg/2198620.jpg,Gigabyte A5 K1,52500,36000
82JU00TCPB,https://s.ek.ua/jpg/2015158.jpg,Lenovo Legion 5 15ACH6H,81044,42830
82JU00JCPB,https://s.ek.ua/jpg/2015158.jpg,Lenovo Legion 5 15ACH6H,81044,42830
82JU00TGPB,https://s.ek.ua/jpg/2015158.jpg,Lenovo Legion 5 15ACH6H,81044,42830
82JU00TKPB,https://s.ek.ua/jpg/2015158.jpg,Lenovo Legion 5 15ACH6H,81044,42830
82JU01AGRM,https://s.ek.ua/jpg/2015158.jpg,Lenovo Legion 5 15ACH6H,81044,42830
MKGP3,https://s.ek.ua/jpg/2110934.jpg,Apple MacBook Pro 14,276670,63599
MKGR3,https://s.ek.ua/jpg/2110934.jpg,Apple MacBook Pro 14,276670,63599
Z15G/1,https://s.ek.ua/jpg/2110934.jpg,Apple MacBook Pro 14,276670,63599
Z15G/12,https://s.ek.ua/jpg/2110934.jpg,Apple MacBook Pro 14,276670,63599
Z15G/2,https://s.ek.ua/jpg/2110934.jpg,Apple MacBook Pro 14,276670,63599
82JW00J9PB,https://s.ek.ua/jpg/2058429.jpg,Lenovo Legion 5 15ACH6,58029,29366
82JW009XPB,https://s.ek.ua/jpg/2058429.jpg,Lenovo Legion 5 15ACH6,58029,29366
82JW008DPB,https://s.ek.ua/jpg/2058429.jpg,Lenovo Legion 5 15ACH6,58029,29366
82JW0088PB,https://s.ek.ua/jpg/2058429.jpg,Lenovo Legion 5 15ACH6,58029,29366
82JW00AQRM,https://s.ek.ua/jpg/2058429.jpg,Lenovo Legion 5 15ACH6,58029,29366
FX506LHB-HN323,https://s.ek.ua/jpg/2279621.jpg,Asus TUF Gaming F15 FX506LHB,40346,26250
FX506LHB-HN323W,https://s.ek.ua/jpg/2279621.jpg,Asus TUF Gaming F15 FX506LHB,40346,26250
FX506LHB-HN345W,https://s.ek.ua/jpg/2279621.jpg,Asus TUF Gaming F15 FX506LHB,40346,26250
FX506LHB-HN326,https://s.ek.ua/jpg/2279621.jpg,Asus TUF Gaming F15 FX506LHB,40346,26250
FX506LHB-HN324,https://s.ek.ua/jpg/2279621.jpg,Asus TUF Gaming F15 FX506LHB,40346,26250
FX506LHB-HN349,https://s.ek.ua/jpg/2279621.jpg,Asus TUF Gaming F15 FX506LHB,40346,26250
FX506LHB-HN324W,https://s.ek.ua/jpg/2279621.jpg,Asus TUF Gaming F15 FX506LHB,40346,26250
AN515-58-513T,https://s.ek.ua/jpg/2159176.jpg,Acer Nitro 5 AN515-58,93000,31999
AN515-58-55KH,https://s.ek.ua/jpg/2159176.jpg,Acer Nitro 5 AN515-58,93000,31999
AN515-58-58NF,https://s.ek.ua/jpg/2159176.jpg,Acer Nitro 5 AN515-58,93000,31999
